Id,iso,_1st Administrative Level Name,lat,lon
466,BRB,Saint Joseph,13.20348986,-59.54441502
467,BRB,Saint Lucy,13.30497497,-59.61778649
468,BRB,Saint Michael,13.11724718,-59.60049143
469,BRB,Saint Peter,13.26099032,-59.6155118
470,BRB,Saint Philip,13.13024979,-59.46447853
471,BRB,Saint Thomas,13.17882605,-59.58866675
472,BRN,Belait,4.37664616,114.5481873
473,BRN,Brunei and Muara,4.903876089,114.9121231
474,BRN,Temburong,4.6116436,115.1856938
475,BRN,Tutong,4.636752958,114.7202039
476,BTN,Bumthang,27.6937303,90.74012054
477,BTN,Chhukha,26.98102773,89.55075565
478,BTN,Chirang,27.01729106,90.15024422
479,BTN,Daga,27.04500382,89.87119295
480,BTN,Gasa,28.02990611,89.98450661
481,BTN,Geylegphug,26.91633707,90.38476737
482,BTN,Ha,27.33934661,89.15730461
483,BTN,Lhuntshi,27.76515504,91.13226495
484,BTN,Mongar,27.25242712,91.22384807
485,BTN,Paro,27.48100603,89.37520205
486,BTN,Pemagatsel,27.00666842,91.35940264
487,BTN,Punakha,27.64711994,89.86868595
488,BTN,Samchi,27.03626569,89.07844572
489,BTN,Samdrup Jongkhar,26.94921989,91.66876337
490,BTN,Shemgang,27.07553297,90.87139204
491,BTN,Tashi Yangtse,27.67862168,91.50762373
492,BTN,Tashigang,27.26439536,91.73630181
493,BTN,Thimphu,27.5910935,89.55369151
494,BTN,Tongsa,27.39617079,90.50342462
495,BTN,Wangdi Phodrang,27.51756854,90.16420908
496,BWA,Central,-21.5399754,26.27291014
497,BWA,Ghanzi,-22.29411984,22.59945748
498,BWA,Kgalagadi,-24.8572453,21.75404101
499,BWA,Kgatleng,-24.15220889,26.3541544
500,BWA,Kweneng,-23.86278541,24.68633663
501,BWA,North-East,-21.01738413,27.56637549
502,BWA,North-West,-19.43839354,23.09157972
503,BWA,South-East,-24.93012892,25.79120692
504,BWA,Southern,-24.92523931,24.46590938
505,CAF,Bamingui-Bangoran,8.421401133,20.57415788
506,CAF,Bangui,4.38347006,18.60524761
507,CAF,Basse-Kotto,4.893063519,21.36299324
508,CAF,Haute-Kotto,7.46947676,22.923067
509,CAF,Haut-Mbomou,6.308259525,25.58843526
510,CAF,Kémo,5.797382917,19.29825418
511,CAF,Lobaye,4.17498119,17.61849245
512,CAF,Mambéré-Kadéï,4.569361966,15.92449424
513,CAF,Mbomou,5.502244877,23.3906361
514,CAF,Nana-Grébizi,7.190491401,19.3306709
515,CAF,Nana-Mambéré,5.698105018,15.37930198
516,CAF,Ombella-M'Poko,5.115409037,17.99802404
517,CAF,Ouaka,6.124938481,20.74929381
518,CAF,Ouham,6.910880026,17.88829206
519,CAF,Ouham-Pendé,6.728600634,16.13593016
520,CAF,Sangha-Mbaéré,3.456196481,16.28426923
521,CAF,Vakaga,9.822840485,22.5136615
522,CAN,Alberta,55.16982975,-114.5110008
523,CAN,British Columbia,54.75318021,-124.7685651
524,CAN,Manitoba,54.92835607,-97.43168137
525,CAN,New Brunswick,46.61491491,-66.37940137
526,CAN,Newfoundland and Labrador,52.88931762,-60.50858564
527,CAN,Northwest Territories,66.3875225,-119.0049329
528,CAN,Nova Scotia,45.14582806,-63.3316032
529,CAN,Nunavut,71.02072181,-88.91614963
530,CAN,Ontario,50.07411341,-85.82937954
531,CAN,Prince Edward Island,46.39117699,-63.24617933
532,CAN,Québec,53.39031356,-71.7828897
533,CAN,Saskatchewan,54.41828431,-105.8894386
534,CAN,Yukon,63.62965716,-135.5097497
535,CHE,Aargau,47.41327321,8.156620323
536,CHE,Appenzell Ausserrhoden,47.36842321,9.370121482
537,CHE,Appenzell Innerrhoden,47.31985096,9.418451572
538,CHE,Basel-Landschaft,47.45457475,7.698661583
539,CHE,Basel-Stadt,47.51191767,7.535540251
540,CHE,Bern,46.82310884,7.628046789
541,CHE,Fribourg,46.71962674,7.077833928
542,CHE,Genève,46.21010885,6.128093133
543,CHE,Glarus,46.98295999,9.066516108
544,CHE,Graubünden,46.65661405,9.630416748
545,CHE,Jura,47.35174961,7.16463248
546,CHE,Lac Léman,46.42665734,6.525787745
547,CHE,Lucerne,47.07036046,8.110009732
548,CHE,Neuchâtel,46.99709123,6.789332237
549,CHE,Nidwalden,46.92532426,8.420112966
550,CHE,Obwalden,46.85509842,8.243987425
551,CHE,Sankt Gallen,47.23521407,9.274389026
552,CHE,Schaffhausen,47.72493998,8.567654514
553,CHE,Schwyz,47.06213553,8.752629728
554,CHE,Solothurn,47.29908978,7.650906228
555,CHE,Thurgau,47.57384322,9.084471192
556,CHE,Ticino,46.29733928,8.808968685
557,CHE,Uri,46.77604057,8.629194867
558,CHE,Valais,46.21232863,7.61467595
559,CHE,Vaud,46.5832467,6.66957717
560,CHE,Zug,47.15912374,8.537013408
561,CHE,Zürich,47.41700357,8.655466229
562,CHL,Aisén del General Carlos Ibáñez del Campo,-46.41965634,-73.2604133
563,CHL,Antofagasta,-23.45660058,-69.10302642
564,CHL,Araucanía,-38.69563794,-72.27993241
565,CHL,Arica y Parinacota,-18.57336,-69.46106
566,CHL,Atacama,-27.36934466,-69.91352319
567,CHL,Bío Bío,-37.15261399,-72.23707333
568,CHL,Coquimbo,-30.60707009,-70.86966574
569,CHL,Libertador General Bernardo O'Higgins,-34.42912926,-71.0650658
570,CHL,Los Lagos,-41.56565813,-72.8206914
571,CHL,Los Rios,-40.01499,-72.51526
572,CHL,Magallanes ,-52.4790043,-71.90046399
